,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
1203,1967-07-11,Virginia Union University,37th overall,2nd round,Washington Bullets,1990,AJ English
1204,1954-01-05,University of South Carolina,23rd overall,2nd round,Milwaukee Bucks,1976,Alex English
1205,1946-12-26,University of Rhode Island,110th overall,7th round,Portland Trail Blazers,1970,Claude English
1206,1970-02-04,University of South Carolina,,,,,Jo Jo English
1207,1988-09-24,University of Missouri,44th overall,2nd round,Detroit Pistons,2012,Kim English
1208,1950-10-20,University of Texas at El Paso,33rd overall,3rd round,Phoenix Suns,1972,Scott English
1209,1917-10-21,University of Wisconsin,,,,,Gene Englund
1210,1990-07-01,"California State University, Long Beach",50th overall,2nd round,Atlanta Hawks,2013,James Ennis
1211,1994-08-24,Syracuse University,18th overall,1st round,Phoenix Suns,2014,Tyler Ennis
1212,1956-08-20,Norfolk State University,104th overall,5th round,Golden State Warriors,1977,Ray Epps
1213,1986-07-28,,60th overall,2nd round,Boston Celtics,2008,Semih Erden
1214,1932-07-30,Niagara University,43rd overall,5th round,Rochester Royals,1954,Bo Erias
1215,1944-04-19,"University of California, Los Angeles",18th overall,3rd round,San Francisco Warriors,1965,Keith Erickson
1216,1950-02-22,University of Massachusetts Amherst,12th overall,1st round,Milwaukee Bucks,1972,Julius Erving
1217,1975-05-30,Northwestern University,34th overall,2nd round,New Jersey Nets,1999,Evan Eschmeyer
1218,1924-01-21,University of Kansas,,,,,Jack Eskridge
1219,1969-03-01,,,,,,Vincenzo Esposito
1220,1997-02-01,Oregon State University,,,,,Drew Eubanks
1221,1947-03-03,Boston College,175th overall,13th round,Boston Celtics,1969,Billy Evans
1222,1925-05-31,Butler University,1949 BAA Draft,4th roun,Indianapolis Olympians,,Bob Evans
1223,1973-09-13,Indiana University,27th overall,1st round,Orlando Magic,1996,Brian Evans
1224,1955-11-11,"University of Southern California, University of Nevada, Las Vegas",157th overall,8th round,Detroit Pistons,1978,Earl Evans
1225,1997-06-18,University of Cincinnati,28th overall,1st round,Golden State Warriors,2018,Jacob Evans
1226,1996-07-26,Oklahoma State University,39th overall,2nd round,Philadelphia 76ers,2017,Jawun Evans
1227,1987-10-24,Western Kentucky University,55th overall,2nd round,Utah Jazz,2010,Jeremy Evans
1228,1978-11-08,"Wichita State University, University of Texas at Austin",,,,,Maurice Evans
1229,1955-04-19,Kansas State University,21st overall,1st round,Denver Nuggets,1978,Mike Evans
1230,1980-05-18,University of Iowa,,,,,Reggie Evans
1231,1989-09-19,University of Memphis,4th overall,1st round,Sacramento Kings,2009,Tyreke Evans
1232,1983-03-26,Duke University,32nd overall,2nd round,Los Angeles Clippers,2005,Daniel Ewing
1233,1962-08-05,Georgetown University,1st overall,1st round,New York Knicks,1985,Patrick Ewing
1234,1984-05-20,"Indiana University, Georgetown University",43rd overall,2nd round,Sacramento Kings,2008,Patrick Ewing
1235,1995-07-13,,5th overall,1st round,Utah Jazz,2014,Dante Exum
1236,1989-06-22,,30th overall,1st round,Cleveland Cavaliers,2009,Christian Eyenga
1237,1989-10-21,Vanderbilt University,30th overall,1st round,Golden State Warriors,2012,Festus Ezeli
1238,1922-03-21,University of Rhode Island,,1947 BAA Draf,Boston Celtics,,Johnny Ezersky
1239,1913-09-04,University of Pittsburgh,,,,,Joe Fabel
1240,1943-04-28,Brigham Young University,16th overall,2nd round,Los Angeles Lakers,1965,John Fairchild
1241,1924-04-03,City College of New York,,,,,Phil Farbman
1242,1989-11-19,Morehead State University,22nd overall,1st round,Denver Nuggets,2011,Kenneth Faried
1243,1932-04-13,Indiana University,15th overall,2nd round,Syracuse Nationals,1954,Dick Farley
1244,1986-11-30,"University of California, Los Angeles",26th overall,1st round,Los Angeles Lakers,2006,Jordan Farmar
1245,1981-10-07,University of Southern California,,,,,Desmon Farmer
1246,1964-09-23,University of Alabama,20th overall,1st round,Dallas Mavericks,1987,Jim Farmer
1247,1936-09-26,University of San Francisco,3rd overall,1st round,New York Knicks,1958,Mike Farmer
1248,1970-01-03,"San Jose State University, University of Nebraska",,,,,Tony Farmer
1249,1921-09-02,University of Notre Dame,,,,,Bob Faught
1250,1988-05-05,,,,,,Vitor Faverani
1251,1991-07-15,Georgia Institute of Technology,3rd overall,1st round,New Jersey Nets,2010,Derrick Favors
1252,1985-06-17,"University of Nevada, Reno",34th overall,2nd round,Dallas Mavericks,2007,Nick Fazekas
1253,1940-12-10,Florida State University,23rd overall,3rd round,San Francisco Warriors,1962,Dave Fedor
1254,1920-01-02,Santa Clara University,,,,,Bob Feerick
1255,1954-05-19,Vanderbilt University,33rd overall,2nd round,Phoenix Suns,1976,Butch Feher
1256,1974-07-03,Michigan State University,48th overall,2nd round,Philadelphia 76ers,1996,Jamie Feick
1257,1931-08-06,DePaul University,,1953 NBA Draf,Minneapolis Lakers,,Ron Feiereisel
1258,1929-07-02,University of Kentucky,,,,,George Feigenbaum
1259,1962-06-08,University of Texas at El Paso,43rd overall,2nd round,Houston Rockets,1986,Dave Feitl
1260,1995-03-29,Oakland University,54th overall,2nd round,Atlanta Hawks,2016,Kay Felder
1261,1992-07-07,,,,,,Cristiano Felicio
1262,1990-08-17,Arizona State University,33rd overall,2nd round,Cleveland Cavaliers,2013,Carrick Felix
1263,1981-10-04,"California State University, Fresno",,,,,Noel Felix
1264,1930-12-10,Long Island University,1st overall,1st round,Baltimore Bullets,1953,Ray Felix
1265,1984-06-26,University of North Carolina,5th overall,1st round,Charlotte Bobcats,2005,Raymond Felton
1266,1929-06-12,Northwestern University,23rd overall,3rd round,Fort Wayne Pistons,1951,Jake Fendley
1267,1922-02-08,Manhattan College,,,,,Warren Fenley
1268,1977-07-22,"University of Missouri, University of Detroit Mercy",,,,,Desmond Ferguson
1269,1998-05-17,,21st overall,1st round,Oklahoma City Thunder,2017,Terrance Ferguson
1270,1985-04-04,,24th overall,1st round,Phoenix Suns,2007,Rudy Fernandez
1271,1953-11-01,University of San Francisco,62nd overall,4th round,Cleveland Cavaliers,1975,Eric Fernsten
1272,1933-07-06,Michigan State University,15th overall,3rd round,St. Louis Hawks,1955,Al Ferrari
1273,1964-05-24,University of Houston,26th overall,2nd round,Portland Trail Blazers,1988,Rolando Ferreira
1274,1965-02-28,Georgia Institute of Technology,,,,,Duane Ferrell
1275,1993-05-09,Indiana University,,,,,Yogi Ferrell
1276,1925-07-29,University of Utah,,1948 BAA Draf,Minneapolis Lakers,,Arnie Ferrin
1277,1937-05-31,Saint Louis University,,1959 NBA Draft,St. Louis Hawks,,Bob Ferry
1278,1966-10-17,Duke University,2nd overall,1st round,Los Angeles Clippers,1989,Danny Ferry
1279,1986-12-24,,38th overall,2nd round,Philadelphia 76ers,2007,Kyrylo Fesenko
1280,1949-10-20,La Salle University,54th overall,4th round,Portland Trail Blazers,1971,Bobby Fields
1281,1962-02-09,"University of California, Los Angeles",21st overall,1st round,Milwaukee Bucks,1984,Kenny Fields
1282,1988-06-27,Stanford University,39th overall,2nd round,New York Knicks,2010,Landry Fields
1283,1944-02-05,Tennessee Technological University,100th overall,9th round,Philadelphia 76ers,1967,Ron Filipek
1284,1947-03-07,Cheyney University of Pennsylvania,136th overall,8th round,New York Knicks,1970,Greg Fillmore
1285,1951-02-16,University of Memphis,68th overall,4th round,Los Angeles Lakers,1973,Larry Finch
1286,1942-04-20,University of Dayton,30th overall,4th round,Los Angeles Lakers,1964,Hank Finkel
1287,1973-03-06,University of Wisconsin,21st overall,1st round,Phoenix Suns,1995,Michael Finley
1288,1928-05-29,St. John's University,,,,,Danny Finn
1289,1993-05-04,University of Florida,,,,,Dorian Finney-Smith
1290,1969-11-18,University of North Carolina at Wilmington,50th overall,2nd round,Golden State Warriors,1992,Matt Fish
1291,1974-08-09,University of Arkansas at Little Rock,24th overall,1st round,Los Angeles Lakers,1996,Derek Fisher
1292,1948-10-27,Colorado State University,27th overall,2nd round,Portland Trail Blazers,1971,Richard Fisher
1293,1982-08-12,University of Kentucky,,,,,Gerald Fitch
1294,1923-03-14,Seton Hall University,,,,,Bob Fitzgerald
1295,1920-11-18,Fordham University,,,,,Dick Fitzgerald
1296,1978-08-10,Iowa State University,4th overall,1st round,Chicago Bulls,2000,Marcus Fizer
1297,1922-02-14,New York University,,,,,Jerry Fleishman
1298,1954-04-05,University of Arizona,30th overall,2nd round,Phoenix Suns,1976,Al Fleming
1299,1933-07-25,Niagara University,16th overall,3rd round,Rochester Royals,1955,Ed Fleming
1300,1962-02-04,University of Georgia,18th overall,1st round,Indiana Pacers,1984,Vern Fleming
1301,1981-04-11,"Rutgers University, Manhattan College",55th overall,2nd round,Houston Rockets,2004,Luis Flores
1302,1957-06-13,University of Notre Dame,26th overall,2nd round,Cleveland Cavaliers,1979,Bruce Flowers
1303,1960-03-06,Georgetown University,13th overall,1st round,New Jersey Nets,1982,Sleepy Floyd
1304,1989-02-06,Syracuse University,6th overall,1st round,Minnesota Timberwolves,2009,Jonny Flynn
1305,1953-07-31,University of Kentucky,113th overall,7th round,Philadelphia 76ers,1975,Mike Flynn
1306,1953-03-19,Canisius College,34th overall,2nd round,New York Knicks,1975,Larry Fogle
1307,1939-04-19,College of the Holy Cross,16th overall,2nd round,Boston Celtics,1962,Jack Foley
1308,1975-04-16,Washington State University,,,,,Isaac Fontaine
1309,1948-11-01,University of Maryland Eastern Shore,70th overall,5th round,San Francisco Warriors,1970,Levi Fontaine
1310,1987-07-14,Cornell University,,,,,Jeff Foote
1311,1993-07-23,Michigan State University,,,,,Bryn Forbes
1312,1985-02-25,"University of Virginia, University of Massachusetts Amherst",,,,,Gary Forbes
1313,1971-10-31,Mississippi Valley State University,32nd overall,2nd round,Philadelphia 76ers,1993,Alphonso Ford
1314,1981-05-29,University of Houston,51st overall,2nd round,Phoenix Suns,2001,Alton Ford
1315,1950-01-26,Purdue University,74th overall,5th round,New York Knicks,1972,Bob Ford
1316,1949-01-11,Villanova University,17th overall,2nd round,Detroit Pistons,1972,Chris Ford
1317,1952-12-31,"University of New Mexico, University of California, Santa Barbara",92nd overall,6th round,Los Angeles Lakers,1975,Don Ford
1318,1946-04-29,University of Maryland Eastern Shore,65th overall,5th round,Cincinnati Royals,1969,Jake Ford
1319,1956-02-09,University of North Carolina,2nd overall,1st round,Kansas City Kings,1978,Phil Ford
1320,1982-01-09,Clemson University,,,,,Sharrod Ford
1321,1972-08-26,University of Illinois at Chicago,26th overall,1st round,Seattle SuperSonics,1995,Sherell Ford
1322,1983-03-24,University of Texas at Austin,8th overall,1st round,Milwaukee Bucks,2003,TJ Ford
1323,1926-01-17,New York University,,,,,Donnie Forman
1324,1954-07-08,Grand Canyon University,54th overall,3rd round,Phoenix Suns,1975,Bayard Forrest
1325,1981-03-23,University of North Carolina,21st overall,1st round,Boston Celtics,2001,Joseph Forte
1326,1988-05-23,University of Arkansas,,,,,Courtney Fortson
1327,1976-03-27,University of Cincinnati,10th overall,1st round,Milwaukee Bucks,1997,Danny Fortson
1328,1946-03-18,Miami University,28th overall,3rd round,Cincinnati Royals,1968,Fred Foster
1329,1968-10-03,"University of California, Los Angeles, University of Texas at El Paso",35th overall,2nd round,Washington Bullets,1990,Greg Foster
1330,1977-01-16,Texas State University,21st overall,1st round,Golden State Warriors,1999,Jeff Foster
1331,1951-12-16,University of Connecticut,57th overall,4th round,Cleveland Cavaliers,1974,Jimmy Foster
1332,1960-10-10,"University of California, Los Angeles",28th overall,2nd round,Phoenix Suns,1983,Rod Foster
1333,1981-04-01,,48th overall,2nd round,Memphis Grizzlies,2001,Antonis Fotsis
1334,1992-10-29,,20th overall,1st round,Denver Nuggets,2012,Evan Fournier
1335,1928-06-24,La Salle University,5th overall,1st round,Chicago Stags,1950,Larry Foust
1336,1940-02-11,Saint Francis University,,,,,Calvin Fowler
1337,1927-06-20,University of Missouri,,,,,Jerry Fowler
1338,1976-04-11,"University of California, California State University, Fresno",54th overall,2nd round,Denver Nuggets,1998,Tremaine Fowlkes
1339,1997-12-20,University of Kentucky,5th overall,1st round,Sacramento Kings,2017,De'Aaron Fox
1340,1949-08-29,Jacksonville University,15th overall,2nd round,Buffalo Braves,1972,Harold Fox
1341,1943-04-07,University of South Carolina,67th overall,8th round,Cincinnati Royals,1965,Jim Fox
1342,1969-07-24,University of North Carolina,24th overall,1st round,Boston Celtics,1991,Rick Fox
1343,1983-09-24,Villanova University,7th overall,1st round,Boston Celtics,2006,Randy Foye
1344,1975-03-09,Colgate University,8th overall,1st round,Golden State Warriors,1997,Adonal Foyle
1345,1977-08-14,Gonzaga University,,,,,Richie Frahm
1346,1977-02-21,University of Maryland,2nd overall,1st round,Vancouver Grizzlies,1999,Steve Francis
1347,1965-04-26,Western Kentucky University,14th overall,1st round,Golden State Warriors,1987,Tellis Frank
1348,1913-11-03,Brooklyn College,,,,,Nat Frankel
1349,1991-07-21,San Diego State University,41st overall,2nd round,Memphis Grizzlies,2013,Jamaal Franklin
1350,1949-10-19,Purdue University,110th overall,7th round,Golden State Warriors,1972,William Franklin
1351,1945-10-20,University of Kansas,33rd overall,4th round,Detroit Pistons,1967,Ronald Franz
1352,1996-08-30,Tulane University,35th overall,2nd round,Orlando Magic,2018,Melvin Frazier
1353,1990-11-01,Pennsylvania State University,,,,,Tim Frazier
1354,1945-03-29,Southern Illinois University,5th overall,1st round,New York Knicks,1967,Walt Frazier
1355,1942-08-24,Grambling State University,9th overall,2nd round,San Francisco Warriors,1965,Will Frazier
1356,1964-12-07,Pepperdine University,133rd overall,6th round,Denver Nuggets,1986,Anthony Frederick
1357,1989-02-25,Brigham Young University,10th overall,1st round,Milwaukee Bucks,2011,Jimmer Fredette
1358,1953-12-09,Guilford College,23rd overall,2nd round,Philadelphia 76ers,1975,World B Free
1359,1987-02-07,,30th overall,1st round,Portland Trail Blazers,2006,Joel Freeland
1360,1944-07-18,University of Illinois at Urbana-Champaign,29th overall,3rd round,Philadelphia 76ers,1966,Donnie Freeman
1361,1948-07-25,Oregon State University,16th overall,1st round,Milwaukee Bucks,1970,Gary Freeman
1362,1950-11-05,Vanderbilt University,166th overall,11th round,Philadelphia 76ers,1973,Rod Freeman
1363,1981-10-02,Vanderbilt University,53rd overall,2nd round,Miami Heat,2004,Matt Freije
1364,1921-10-26,Long Island University,,,,,Frido Frey
1365,1935-04-14,University of California,13th overall,2nd round,New York Knicks,1957,Larry Friend
1366,1945-02-18,University of Colorado,27th overall,3rd round,Cincinnati Royals,1968,Pat Frink
1367,1931-12-10,Hamline University,7th overall,1st round,Minneapolis Lakers,1953,Jim Fritsche
1368,1983-05-17,University of Arizona,8th overall,1st round,New York Knicks,2005,Channing Frye
1369,1949-12-25,Brigham Young University,109th overall,7th round,Phoenix Suns,1972,Bernie Fryer
1370,1920-07-24,Long Island University,,,,,Frank Fucarino
1371,1918-07-06,,,,,,Herm Fuetsch
1372,1921-10-26,Murray State University,,,,,Joe Fulks
1373,1946-01-10,Bethune-Cookman College,73rd overall,7th round,St. Louis Hawks,1967,Carl Fuller
1374,1981-05-15,"California State University, Fresno",,,,,Hiram Fuller
1375,1974-07-25,North Carolina State University,11th overall,1st round,Golden State Warriors,1996,Todd Fuller
1376,1958-09-04,Pepperdine University,93rd overall,5th round,Detroit Pistons,1980,Tony Fuller
1377,1998-05-29,University of Washington,1st overall,1st round,Philadelphia 76ers,2017,Markelle Fultz
1378,1970-12-15,"Indiana University, Ohio State University",51st overall,2nd round,Sacramento Kings,1994,Lawrence Funderburke
1379,1954-10-18,Michigan State University,12th overall,1st round,Philadelphia 76ers,1976,Terry Furlow
1380,1922-05-13,Syracuse University,,1948 BAA Draf,Rochester Royals,,Bill Gabor
1381,1978-02-02,"University of California, Los Angeles",34th overall,2nd round,Milwaukee Bucks,2002,Dan Gadzuric
1382,1982-03-22,Fairfield University,,,,,Deng Gai
1383,1918-11-22,DePaul University,,1947 BAA Draf,Baltimore Bullets,,Elmer Gainer
1384,1946-03-10,East Texas State University,182nd overall,15th round,San Diego Rockets,1968,Bill Gaines
1385,1965-06-01,"University of California, Los Angeles, Loyola Marymount University",65th overall,3rd round,Seattle SuperSonics,1988,Corey Gaines
1386,1942-02-27,LeMoyne-Owen College,,,,,David Gaines
1387,1981-01-07,University of Louisville,15th overall,1st round,Orlando Magic,2003,Reece Gaines
1388,1986-04-18,University of Georgia,,,,,Sundiata Gaines
1389,1950-07-18,Elizabeth City State University,47th overall,3rd round,Chicago Bulls,1971,Mike Gale
1390,1969-05-30,Creighton University,32nd overall,2nd round,Phoenix Suns,1991,Chad Gallagher
1391,1927-04-26,Truman State University,and New York Knicks,1947 BAA Draf,Baltimore Bullets,1948,Harry Gallatin
1392,1988-08-08,,6th overall,1st round,New York Knicks,2008,Danilo Gallinari
1393,1991-12-09,Saint Joseph's University,,,,,Langston Galloway
1394,1937-04-16,Oregon State University,6th overall,1st round,St. Louis Hawks,1958,Dave Gambee
1395,1965-11-13,University of Iowa,63rd overall,3rd round,Portland Trail Blazers,1987,Kevin Gamble
1396,1922-06-22,Duke University,,,,,Bob Gantt
1397,1977-12-19,,,,,,Jorge Garbajosa
1398,1973-10-17,Providence College,,,,,Ruben Garces
1399,1980-03-04,,,,,,Alex Garcia
1400,1981-12-31,University of Louisville,23rd overall,1st round,Sacramento Kings,2005,Francisco Garcia
1401,1944-09-30,University of Colorado,80th overall,9th round,Baltimore Bullets,1966,Chuck Gardner
1402,1923-09-18,DePauw University,,1948 BAA Draf,Minneapolis Lakers,,Earl Gardner
1403,1949-09-27,University of Utah,82nd overall,5th round,Phoenix Suns,1971,Kenneth Gardner
1404,1985-02-08,University of Missouri,,,,,Thomas Gardner
1405,1925-05-14,University of Utah,5th overall,1st round,Philadelphia Warriors,1949,Vern Gardner
1406,1918-06-13,St. John's University,,,,,Jack Garfinkel
1407,1993-05-17,George Washington University,,,,,Patricio Garino
1408,1957-10-12,DePaul University,30th overall,2nd round,Denver Nuggets,1979,Gary Garland
1409,1964-12-19,Missouri State University,40th overall,2nd round,Milwaukee Bucks,1987,Winston Garland
1410,1932-10-29,University of Minnesota,80th overall,9th round,Minneapolis Lakers,1954,Dick Garmaker
1411,1940-06-17,University of Portland,68th overall,8th round,Los Angeles Lakers,1962,Bill Garner
1412,1975-02-02,University of Memphis,,,,,Chris Garner
1413,1960-04-22,University of Wyoming,4th overall,1st round,Dallas Mavericks,1982,Bill Garnett
1414,1976-05-19,,5th overall,1st round,Minnesota Timberwolves,1995,Kevin Garnett
1415,1975-07-03,Santa Clara University,,,,,Marlon Garnett
1416,1994-10-16,DePaul University,,,,,Billy Garrett
1417,1956-07-11,"Austin Peay State University, Oral Roberts University",47th overall,3rd round,Chicago Bulls,1979,Calvin Garrett
1418,1966-11-27,Indiana University,38th overall,2nd round,Phoenix Suns,1988,Dean Garrett
1419,1988-11-03,Iowa State University,,,,,Diante Garrett
1420,1947-01-31,Southern Illinois University,27th overall,2nd round,Los Angeles Lakers,1969,Dick Garrett
1421,1950-07-16,Florida State University,78th overall,5th round,Chicago Bulls,1972,Rowland Garrett
1422,1966-07-07,University of Rhode Island,45th overall,2nd round,Los Angeles Clippers,1988,Tom Garrick
1423,1959-06-06,"University of Michigan, Boston College",27th overall,2nd round,Cleveland Cavaliers,1983,John Garris
1424,1974-09-24,University of Illinois at Urbana-Champaign,,,,,Kiwane Garris
1425,1976-08-23,University of Notre Dame,19th overall,1st round,Milwaukee Bucks,1998,Pat Garrity
1426,1950-02-05,Boston University,204th overall,17th round,Buffalo Braves,1973,Jim Garvin
1427,1985-01-29,,48th overall,2nd round,Los Angeles Lakers,2007,Marc Gasol
1428,1980-07-06,,3rd overall,1st round,Atlanta Hawks,2001,Pau Gasol
1429,1920-04-12,Sam Houston State University,,,,,Frank Gates
1430,1967-09-03,Old Dominion University,16th overall,1st round,Golden State Warriors,1991,Chris Gatling
1431,1964-05-23,Old Dominion University,55th overall,3rd round,Phoenix Suns,1986,Kenny Gattison
1432,1986-08-17,University of Connecticut,8th overall,1st round,Houston Rockets,2006,Rudy Gay
1433,1927-05-11,Washington State University,1950 NBA Draft,2nd roun,Tri-Cities Blackhawks,,Ed Gayda
1434,1965-07-24,Seton Hall University,,,,,Andrew Gaze
1435,1992-06-05,"Duke University, Syracuse University",49th overall,2nd round,Detroit Pistons,2016,Michael Gbinije
1436,1973-08-31,University of Arizona,56th overall,2nd round,Cleveland Cavaliers,1996,Reggie Geary
1437,1987-05-29,University of Alabama,,,,,Alonzo Gee
1438,1969-09-10,"Auburn University, Georgia Institute of Technology",42nd overall,2nd round,Miami Heat,1992,Matt Geiger
1439,1983-05-22,,48th overall,2nd round,Seattle SuperSonics,2005,Mickael Gelabale
1440,1977-08-29,Augsburg College,23rd overall,1st round,Los Angeles Lakers,1999,Devean George
1441,1928-11-13,La Salle University,,1953 NBA Draf,Philadelphia Warriors,,Jack George
1442,1990-05-02,"California State University, Fresno",10th overall,1st round,Indiana Pacers,2010,Paul George
1443,1968-05-29,University of Connecticut,22nd overall,1st round,New Jersey Nets,1990,Tate George
1444,1994-03-28,Georgia Institute of Technology,,,,,Marcus Georges-Hunt
1445,1953-07-27,University of Virginia,50th overall,3rd round,Portland Trail Blazers,1975,Gus Gerard
1446,1963-03-28,University of Texas at San Antonio,90th overall,4th round,Philadelphia 76ers,1985,Derrick Gervin
1447,1952-04-27,Eastern Michigan University,40th overall,3rd round,Phoenix Suns,1974,George Gervin
1448,1920-08-14,Temple University,,,,,Gorham Getchell
1449,1950-06-10,University of the Pacific,20th overall,2nd round,Houston Rockets,1972,John Gianelli
1450,1948-12-20,University of Texas at El Paso,49th overall,3rd round,Chicago Bulls,1971,Dick Gibbs
1451,1986-02-27,University of Texas at Austin,42nd overall,2nd round,Cleveland Cavaliers,2006,Daniel Gibson
1452,1923-08-25,Western Kentucky University,,1948 BAA Draf,Minneapolis Lakers,,Dee Gibson
1453,1921-12-05,Creighton University,,,,,Hoot Gibson
1454,1987-11-08,New Mexico State University,,,,,Jonathan Gibson
1455,1940-12-30,Western Carolina University,16th overall,2nd round,Los Angeles Lakers,1963,Mel Gibson
1456,1960-10-27,University of South Carolina Upstate,44th overall,2nd round,Washington Bullets,1982,Mike Gibson
1457,1985-06-24,University of Southern California,26th overall,1st round,Chicago Bulls,2009,Taj Gibson
1458,1985-02-13,"University of Kansas, University of New Mexico",30th overall,1st round,Boston Celtics,2008,JR Giddens
1459,1985-01-24,"McNeese State University, Northwestern State University",,,,,Trey Gilder
1460,1998-04-22,Duke University,20th overall,1st round,Portland Trail Blazers,2017,Harry Giles
1461,1998-07-12,University of Kentucky,11th overall,1st round,Charlotte Hornets,2018,Shai Gilgeous-Alexander
1462,1978-08-16,Weber State University,,,,,Eddie Gill
1463,1968-05-25,University of Illinois at Urbana-Champaign,5th overall,1st round,Charlotte Hornets,1990,Kendall Gill
1464,1965-09-19,Georgetown University,,,,,Ben Gillery
1465,1947-10-01,Montana State University,166th overall,12th round,Los Angeles Lakers,1969,Jack Gillespie
1466,,Saint Mary's College of California,,,,,Gene Gillette
1467,1964-05-28,"University of Nevada, Las Vegas",2nd overall,1st round,Phoenix Suns,1987,Armen Gilliam
1468,1946-05-05,Purdue University,163rd overall,13th round,Chicago Bulls,1968,Herm Gilliam
1469,1949-09-21,"Gardner-Webb University, Jacksonville University",117th overall,7th round,Chicago Bulls,1971,Artis Gilmore
1470,1947-02-27,Fort Valley State University,25th overall,2nd round,Portland Trail Blazers,1970,Walt Gilmore
1471,1922-08-13,University of Washington,,,,,Chuck Gilmur
1472,1977-07-28,,57th overall,2nd round,San Antonio Spurs,1999,Manu Ginobili
1473,1977-06-20,,40th overall,2nd round,Dallas Mavericks,1999,Gordan Giricek
1474,1956-09-21,University of Kentucky,16th overall,1st round,Atlanta Hawks,1978,Jack Givens
1475,1986-07-26,Alabama A&M University,,,,,Mickell Gladness
1476,1918-06-07,University of North Carolina,,,,,George Glamack
1477,1967-11-12,"Delta State University, University of Mississippi",20th overall,1st round,Minnesota Timberwolves,1990,Gerald Glass
1478,1955-09-10,Southern Illinois University,23rd overall,2nd round,Chicago Bulls,1977,Mike Glenn
1479,1927-11-10,Loyola Marymount University,,,,,Normie Glick
1480,1960-01-10,,148th overall,7th round,Phoenix Suns,1985,Georgi Glouchkov
1481,1947-11-01,Western Kentucky University,10th overall,1st round,Boston Celtics,1971,Clarence Glover
1482,1978-10-22,Georgia Institute of Technology,20th overall,1st round,Atlanta Hawks,1999,Dion Glover
1483,1981-08-21,,58th overall,2nd round,Detroit Pistons,2003,Andreas Glyniadakis
1484,1959-08-03,Duke University,7th overall,1st round,New Jersey Nets,1980,Mike Gminski
1485,1992-06-26,,27th overall,1st round,Denver Nuggets,2013,Rudy Gobert
1486,1967-06-14,University of Evansville,,,,,Dan Godfread
1487,1933-01-13,La Salle University,,1955 NBA Draft,Philadelphia Warriors,,Tom Gola
1488,1913-09-06,George Washington University,,,,,Ben Goldfaden
1489,1971-09-06,University of Houston,52nd overall,2nd round,Phoenix Suns,1994,Anthony Goldwire
1490,1982-09-01,Providence College,50th overall,2nd round,Boston Celtics,2005,Ryan Gomes
1491,1955-08-30,"University of Nevada, Las Vegas",26th overall,2nd round,New York Knicks,1977,Glen Gondrezick
1492,1963-01-19,Pepperdine University,77th overall,4th round,Phoenix Suns,1986,Grant Gondrezick
1493,1981-09-24,University of Kansas,4th overall,1st round,Memphis Grizzlies,2002,Drew Gooden
1494,1943-04-23,"University of California, Los Angeles",,1965 NBA Draft,Los Angeles Lakers,,Gail Goodrich
1495,1976-03-18,Princeton University,,,,,Steve Goodrich
1496,1994-08-17,University of Kentucky,29th overall,1st round,Oklahoma City Thunder,2013,Archie Goodwin
1497,1995-10-02,"University of Central Florida, Florida Gulf Coast University",,,,,Brandon Goodwin
1498,1920-12-22,,,,,,Pop Goodwin
1499,1995-09-16,University of Arizona,4th overall,1st round,Orlando Magic,2014,Aaron Gordon
1500,1983-04-04,University of Connecticut,3rd overall,1st round,Chicago Bulls,2004,Ben Gordon
1501,1990-07-12,"University of California, Los Angeles, University of New Mexico",,,,,Drew Gordon
1502,1988-12-25,Indiana University,7th overall,1st round,Los Angeles Clippers,2008,Eric Gordon
1503,1962-06-24,University of Louisville,8th overall,1st round,Los Angeles Clippers,1984,Lancaster Gordon
1504,1927-04-08,University of Notre Dame,1949 BAA Draft,3rd roun,Baltimore Bullets,,Paul Gordon
1505,1984-02-17,,57th overall,2nd round,Phoenix Suns,2005,Marcin Gortat
1506,1920-11-28,,,,,,Leo Gottlieb
1507,1988-12-07,College of Charleston,46th overall,2nd round,Los Angeles Lakers,2011,Andrew Goudelock
1508,1942-01-02,Saint Mary of the Plains College,88th overall,11th round,St. Louis Hawks,1964,Gerald Govan
1509,1928-04-17,DePaul University,24th overall,3rd round,Syracuse Nationals,1951,Bato Govedarica
1510,1930-01-15,,,,,,Joe Graboski
1511,1967-08-20,"Midland College, University of Oklahoma",67th overall,3rd round,Utah Jazz,1988,Ricky Grace
1512,1944-06-07,Gannon University,,,,,Calvin Graham
1513,1995-02-22,University of Kansas,34th overall,2nd round,Atlanta Hawks,2018,Devonte' Graham
1514,1970-11-26,Indiana University,17th overall,1st round,Charlotte Hornets,1993,Greg Graham
1515,1982-06-11,"University of Central Florida, Oklahoma State University",16th overall,1st round,Toronto Raptors,2005,Joey Graham
1516,1945-02-23,New York University,11th overall,1st round,Boston Celtics,1967,Mal Graham
1517,1965-05-05,"West Texas A&M University, Auburn University at Montgomery",40th overall,2nd round,Miami Heat,1988,Orlando Graham
1518,1967-11-28,Ohio University,,,,,Paul Graham
1519,1982-06-11,"University of Central Florida, Oklahoma State University",,,,,Stephen Graham
1520,1993-10-28,Virginia Commonwealth University,,,,,Treveon Graham
1521,1960-10-04,"University of Florida, University of South Florida",76th overall,4th round,Washington Bullets,1984,Jim Grandholm
