,Player Name,Seasons in NBA,First Season Played,Last Season Played,Birthdate,Birth City,Birth State or Country,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year
1044,Corky Calhoun,8,1973,1980,1950-11-01,Waukegan,Illinois,University of Pennsylvania,4th overall,1st round,Phoenix Suns,1972
1045,Brian Cardinal,12,2001,2012,1977-05-02,Tolono,Illinois,Purdue University,44th overall,2nd round,Detroit Pistons,2000
1046,Howie Carl,1,1962,1962,1938-06-07,Chicago,Illinois,DePaul University,50th overall,5th round,Chicago Packers,1961
1047,Bob Carney,1,1955,1955,1932-08-03,Aurora,Illinois,Bradley University,47th overall,6th round,Milwaukee Hawks,1954
1048,Jevon Carter,4,2019,2022,1995-09-14,Maywood,Illinois,West Virginia University,32nd overall,2nd round,Memphis Grizzlies,2018
1049,Maurice Cheeks,15,1979,1993,1956-09-08,Chicago,Illinois,West Texas A&M University,36th overall,2nd round,Philadelphia 76ers,1978
1050,Keon Clark,6,1999,2004,1975-04-16,Danville,Illinois,"University of Nevada, Las Vegas",13th overall,1st round,Orlando Magic,1998
1051,Doug Collins,8,1974,1981,1951-07-28,Christopher,Illinois,Illinois State University,1st overall,1st round,Philadelphia 76ers,1973
1052,Sherron Collins,1,2011,2011,1987-03-18,Chicago,Illinois,University of Kansas,,,,
1053,Bobby Cook,1,1950,1950,1923-04-01,Harvard,Illinois,University of Wisconsin,,1948 BAA Draf,Fort Wayne Pistons,
1054,Brian Cook,9,2004,2012,1980-12-04,Lincoln,Illinois,University of Illinois at Urbana-Champaign,24th overall,1st round,Los Angeles Lakers,2003
1055,Norm Cook,2,1977,1978,1955-03-21,Chicago,Illinois,University of Kansas,16th overall,1st round,Boston Celtics,1976
1056,Jack Cooley,2,2015,2018,1991-04-12,Evanston,Illinois,,,,,
1057,Dave Corzine,13,1979,1991,1956-04-25,Arlington Heights,Illinois,DePaul University,18th overall,1st round,Washington Bullets,1978
1058,Robert Covington,9,2014,2022,1990-12-14,Bellwood,Illinois,Tennessee State University,,,,
1059,Jeff Cross,1,1986,1986,1961-09-01,Chicago,Illinois,University of Maine,61st overall,3rd round,Dallas Mavericks,1984
1060,Russell Cross,1,1984,1984,1961-09-05,Chicago,Illinois,Purdue University,6th overall,1st round,Golden State Warriors,1983
1061,Terry Cummings,18,1983,2000,1961-03-15,Chicago,Illinois,DePaul University,2nd overall,1st round,San Diego Clippers,1982
1062,Fran Curran,2,1949,1950,1922-09-09,Sterling,Illinois,University of Notre Dame,,,,
1063,Eddy Curry,11,2002,2013,1982-12-05,Harvey,Illinois,,4th overall,1st round,Chicago Bulls,2001
1064,Ed Dahler,1,1952,1952,1926-01-31,Rosemond,Illinois,Duquesne University,1950 NBA Draft,2nd roun,Philadelphia Warriors,
1065,Anthony Davis,10,2013,2022,1993-03-11,Chicago,Illinois,University of Kentucky,1st overall,1st round,New Orleans Hornets,2012
1066,Jimmy Dawson,1,1968,1968,1945-04-18,Oak Park,Illinois,University of Illinois at Urbana-Champaign,154th overall,16th round,Chicago Bulls,1967
1067,Todd Day,8,1993,2001,1970-01-07,Decatur,Illinois,University of Arkansas,8th overall,1st round,Milwaukee Bucks,1992
1068,Justin Dentmon,2,2012,2013,1985-09-05,Carbondale,Illinois,University of Washington,,,,
1069,Earl Dodd,1,1950,1950,1924-11-01,Wood River,Illinois,Truman State University,1949 BAA Draft,5th roun,St. Louis Bombers,
1070,Ayo Dosunmu,1,2022,2022,2000-01-17,Chicago,Illinois,,,,,
1071,Devon Dotson,2,2021,2022,1999-08-02,Chicago,Illinois,,,,,
1072,Bruce Douglas,1,1987,1987,1964-04-09,Quincy,Illinois,University of Illinois at Urbana-Champaign,57th overall,3rd round,Sacramento Kings,1986
1073,Milton Doyle,1,2018,2018,1993-10-31,Chicago,Illinois,Loyola University of Chicago,,,,
1074,Nate Driggers,1,1997,1997,1973-10-12,Chicago,Illinois,University of Montevallo,,,,
1075,Kevin Duckworth,11,1987,1997,1964-04-01,Harvey,Illinois,Eastern Illinois University,33rd overall,2nd round,San Antonio Spurs,1986
1076,Tony Dumas,4,1995,1998,1972-08-25,Chicago,Illinois,University of Missouri-Kansas City,19th overall,1st round,Dallas Mavericks,1994
1077,Gene Dyker,1,1954,1954,1930-02-17,Chicago,Illinois,DePaul University,,1953 NBA Draf,Milwaukee Hawks,
1078,Acie Earl,4,1994,1997,1970-06-23,Peoria,Illinois,University of Iowa,19th overall,1st round,Boston Celtics,1993
1079,Ed Earle,1,1954,1954,1927-04-28,Chicago,Illinois,Loyola University of Chicago,,,,
1080,Dike Eddleman,4,1950,1953,1922-12-27,Centralia,Illinois,University of Illinois at Urbana-Champaign,1949 BAA Draft,3rd roun,Chicago Stags,
1081,Bulbs Ehlers,2,1948,1949,1923-03-10,Joliet,Illinois,Purdue University,3rd overall,1st round,Boston Celtics,1947
1082,Bo Ellis,3,1978,1980,1954-08-08,Chicago,Illinois,Marquette University,17th overall,1st round,Washington Bullets,1977
1083,LaPhonso Ellis,11,1993,2003,1970-05-05,East St. Louis,Illinois,University of Notre Dame,5th overall,1st round,Denver Nuggets,1992
1084,Melvin Ely,9,2003,2014,1978-05-02,Harvey,Illinois,"California State University, Fresno",12th overall,1st round,Los Angeles Clippers,2002
1085,Scott English,3,1973,1975,1950-10-20,Evanston,Illinois,University of Texas at El Paso,33rd overall,3rd round,Phoenix Suns,1972
1086,Brian Evans,3,1997,1999,1973-09-13,Rockford,Illinois,Indiana University,27th overall,1st round,Orlando Magic,1996
1087,Jake Fendley,2,1952,1953,1929-06-12,Danville,Illinois,Northwestern University,23rd overall,3rd round,Fort Wayne Pistons,1951
1088,Bobby Fields,1,1972,1972,1949-10-20,Chicago,Illinois,La Salle University,54th overall,4th round,Portland Trail Blazers,1971
1089,Michael Finley,15,1996,2010,1973-03-06,Melrose Park,Illinois,University of Wisconsin,21st overall,1st round,Phoenix Suns,1995
1090,Al Fleming,1,1978,1978,1954-04-05,Chicago,Illinois,University of Arizona,30th overall,2nd round,Phoenix Suns,1976
1091,Donnie Freeman,9,1968,1976,1944-07-18,Madison,Illinois,University of Illinois at Urbana-Champaign,29th overall,3rd round,Philadelphia 76ers,1966
1092,Larry Friend,1,1958,1958,1935-04-14,Chicago,Illinois,University of California,13th overall,2nd round,New York Knicks,1957
1093,Elmer Gainer,2,1948,1950,1918-11-22,Chicago,Illinois,DePaul University,,1947 BAA Draf,Baltimore Bullets,
1094,Chad Gallagher,1,1994,1994,1969-05-30,Rockford,Illinois,Creighton University,32nd overall,2nd round,Phoenix Suns,1991
1095,Harry Gallatin,10,1949,1958,1927-04-26,Roxana,Illinois,Truman State University,and New York Knicks,1947 BAA Draf,Baltimore Bullets,1948
1096,Kevin Gamble,10,1988,1997,1965-11-13,Springfield,Illinois,University of Iowa,63rd overall,3rd round,Portland Trail Blazers,1987
1097,Bill Garner,1,1968,1968,1940-06-17,East St. Louis,Illinois,University of Portland,68th overall,8th round,Los Angeles Lakers,1962
1098,Billy Garrett,1,2019,2019,1994-10-16,Chicago,Illinois,DePaul University,,,,
1099,Kiwane Lemorris Garris,2,1998,2000,1974-09-24,Chicago,Illinois,,,,,
1100,Kendall Gill,15,1991,2005,1968-05-25,Chicago,Illinois,University of Illinois at Urbana-Champaign,5th overall,1st round,Charlotte Hornets,1990
1101,Jordan Goodwin,1,2022,2022,1998-10-23,Centreville,Illinois,,,,,
1102,Bato Govedarica,1,1954,1954,1928-04-17,Chicago,Illinois,DePaul University,24th overall,3rd round,Syracuse Nationals,1951
1103,Rickey Green,14,1978,1992,1954-08-18,Chicago,Illinois,University of Michigan,16th overall,1st round,Golden State Warriors,1977
1104,Derek Grimm,1,1998,1998,1974-08-03,Peoria,Illinois,University of Missouri,,,,
1105,AJ Guyton,3,2001,2003,1978-02-12,Peoria,Illinois,Indiana University,32nd overall,2nd round,Chicago Bulls,2000
1106,Mike Hall,1,2007,2007,1984-06-05,Chicago,Illinois,George Washington University,,,,
1107,Tyler Hall,1,2022,2022,1997-03-25,Rock Island,Illinois,,,,,
1108,Thomas Hamilton,2,1996,2000,1975-04-03,Chicago,Illinois,University of Pittsburgh,,,,
1109,Julian Hammond,5,1968,1972,1943-05-27,Chicago,Illinois,University of Tulsa,82nd overall,9th round,Los Angeles Lakers,1966
1110,Don Hanrahan,1,1953,1953,1929-02-06,Chicago,Illinois,Loyola University of Chicago,,,,
1111,Luke Harangody,2,2011,2012,1988-01-02,Decatur,Illinois,University of Notre Dame,52nd overall,2nd round,Boston Celtics,2010
1112,Tim Hardaway,13,1990,2003,1966-09-01,Chicago,Illinois,University of Texas at El Paso,14th overall,1st round,Golden State Warriors,1989
1113,Mike Harper,2,1981,1982,1957-12-09,Chicago,Illinois,North Park University,56th overall,3rd round,Portland Trail Blazers,1980
1114,Billy Harris,1,1975,1975,1951-11-12,Chicago,Illinois,Northern Illinois University,115th overall,7th round,Chicago Bulls,1973
1115,Hersey Hawkins,13,1989,2001,1966-09-29,Chicago,Illinois,Bradley University,6th overall,1st round,Los Angeles Clippers,1988
1116,Tom Hawkins,10,1960,1969,1936-12-22,Chicago,Illinois,University of Notre Dame,3rd overall,1st round,Minneapolis Lakers,1959
1117,Nate Hawthorne,3,1974,1976,1950-01-15,Mt. Vernon,Illinois,Southern Illinois University,118th overall,7th round,Los Angeles Lakers,1973
1118,John Hazen,1,1949,1949,1927-03-02,Chicago,Illinois,Indiana State University,,,,
1119,Luther Head,6,2006,2011,1982-11-26,Chicago,Illinois,University of Illinois at Urbana-Champaign,24th overall,1st round,Houston Rockets,2005
1120,Don Henriksen,2,1953,1955,1929-10-10,nan,Illinois,University of California,,,,
1121,Myke Henry,1,2018,2018,1992-12-23,Chicago,Illinois,DePaul University,,,,
1122,Phil Hicks,2,1977,1979,1953-01-31,Chicago,Illinois,Tulane University,61st overall,4th round,Portland Trail Blazers,1975
1123,Lew Hitch,6,1952,1957,1929-07-16,Griggsville,Illinois,Kansas State University,19th overall,2nd round,Minneapolis Lakers,1951
1124,Craig Hodges,10,1983,1992,1960-06-27,Park Forest,Illinois,"California State University, Long Beach",48th overall,3rd round,San Diego Clippers,1982
1125,Randy Holcomb,1,2006,2006,1979-08-08,Chicago,Illinois,"California State University, Fresno, San Diego State University",57th overall,2nd round,San Antonio Spurs,2002
1126,Richaun Holmes,7,2016,2022,1993-10-15,Lockport,Illinois,Bowling Green State University,37th overall,2nd round,Philadelphia 76ers,2015
1127,Jeff Hornacek,14,1987,2000,1963-05-03,Elmhurst,Illinois,Iowa State University,46th overall,2nd round,Phoenix Suns,1986
1128,Ed Horton,1,1990,1990,1967-12-17,Springfield,Illinois,University of Iowa,39th overall,2nd round,Washington Bullets,1989
1129,Talen Horton-Tucker,3,2020,2022,2000-11-25,Chicago,Illinois,,,,,
1130,Juwan Howard,19,1995,2013,1973-02-07,Chicago,Illinois,University of Michigan,5th overall,1st round,Washington Bullets,1994
1131,Troy Hudson,11,1998,2008,1976-03-13,Carbondale,Illinois,"University of Missouri, Southern Illinois University",,,,
1132,Alfredrick Hughes,1,1986,1986,1962-07-19,Chicago,Illinois,Loyola University of Chicago,14th overall,1st round,San Antonio Spurs,1985
1133,Kim Hughes,6,1976,1981,1952-06-04,Freeport,Illinois,University of Wisconsin,45th overall,3rd round,Buffalo Braves,1974
1134,Steven Hunter,8,2002,2010,1981-10-31,Chicago,Illinois,DePaul University,15th overall,1st round,Orlando Magic,2001
1135,Andre Iguodala,18,2005,2022,1984-01-28,Springfield,Illinois,University of Arizona,9th overall,1st round,Philadelphia 76ers,2004
1136,Byron Irvin,3,1990,1993,1966-12-02,LaGrange,Illinois,"University of Arkansas, University of Missouri",22nd overall,1st round,Portland Trail Blazers,1989
1137,Dan Issel,15,1971,1985,1948-10-25,Batavia,Illinois,University of Kentucky,122nd overall,8th round,Detroit Pistons,1970
1138,Fred Jacobs,1,1947,1947,1922-12-02,Joliet,Illinois,University of Denver,,,,
1139,Othyus Jeffers,3,2010,2014,1985-08-05,Chicago,Illinois,"University of Illinois at Chicago, Robert Morris University (IL)",,,,
1140,Armon Johnson,2,2011,2012,1989-02-23,Chicago,Illinois,"University of Nevada, Reno",34th overall,2nd round,Portland Trail Blazers,2010
1141,Eddie Johnson,17,1982,1999,1959-05-01,Chicago,Illinois,University of Illinois at Urbana-Champaign,29th overall,2nd round,Kansas City Kings,1981
1142,Linton Johnson,6,2004,2009,1980-06-13,Chicago,Illinois,Tulane University,,,,
1143,Mickey Johnson,12,1975,1986,1952-08-31,Chicago,Illinois,Aurora University,56th overall,4th round,Portland Trail Blazers,1974
1144,Reggie Jordan,6,1994,2000,1968-01-26,Chicago,Illinois,New Mexico State University,,,,
1145,Johnny Jorgensen,2,1948,1949,1921-12-28,Chicago,Illinois,DePaul University,,,,
1146,Whitey Kachan,1,1949,1949,1925-09-15,Chicago,Illinois,DePaul University,,1948 BAA Draf,Chicago Stags,
1147,Frank Kaminsky,7,2016,2022,1993-04-04,Lisle,Illinois,University of Wisconsin,9th overall,1st round,Charlotte Hornets,2015
1148,Wilbert Kautz,1,1947,1947,1915-09-07,Chicago,Illinois,Loyola University of Chicago,,,,
1149,Red Kerr,12,1955,1966,1932-07-17,Chicago,Illinois,University of Illinois at Urbana-Champaign,6th overall,1st round,Syracuse Nationals,1954
1150,Jack Kerris,4,1950,1953,1925-01-30,Chicago,Illinois,Loyola University of Chicago,9th overall,1st round,Chicago Stags,1949
1151,Walt Kirk,3,1949,1952,1924-09-03,Mount Vernon,Illinois,University of Illinois at Urbana-Champaign,,,,
1152,John Konchar,3,2020,2022,1996-03-22,Chicago,Illinois,,,,,
1153,Tom Kondla,1,1969,1969,1946-11-30,Brookfield,Illinois,University of Minnesota,91st overall,7th round,Milwaukee Bucks,1968
1154,Ronald Kozlicki,1,1968,1968,1944-12-12,Chicago,Illinois,Northwestern University,41st overall,4th round,San Diego Rockets,1967
1155,Steve Kuberski,9,1970,1978,1947-11-06,Moline,Illinois,Bradley University,52nd overall,4th round,Boston Celtics,1969
1156,CJ Kupec,3,1976,1978,1953-01-26,Oak Lawn,Illinois,,,,,
1157,Bob Lackey,2,1973,1974,1949-04-04,Evanston,Illinois,Marquette University,71st overall,5th round,Atlanta Hawks,1972
1158,Sean Lampley,2,2003,2004,1979-09-03,Harvey,Illinois,University of California,45th overall,2nd round,Chicago Bulls,2001
1159,Dan Langhi,4,2001,2004,1977-11-28,Chicago,Illinois,Vanderbilt University,31st overall,2nd round,Dallas Mavericks,2000
1160,Priest Lauderdale,2,1997,1998,1973-08-31,Chicago,Illinois,Central State University,28th overall,1st round,Atlanta Hawks,1996
1161,Bob Lavoy,4,1951,1954,1926-06-29,Aurora,Illinois,Western Kentucky University,8th overall,1st round,Indianapolis Olympians,1950
1162,Vic Law,1,2020,2020,1995-12-19,South Holland,Illinois,,,,,
1163,Doug Lee,3,1992,1995,1964-10-24,Washington,Illinois,"Texas A&M University, Purdue University",35th overall,2nd round,Houston Rockets,1987
1164,Walt Lemon Jr,2,2018,2019,1992-07-26,Chicago,Illinois,Bradley University,,,,
1165,Gary Leonard,3,1990,1992,1967-02-16,Belleville,Illinois,University of Missouri,34th overall,2nd round,Minnesota Timberwolves,1989
1166,Meyers Leonard,9,2013,2021,1992-02-27,Robinson,Illinois,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012
1167,Jim Les,7,1989,1995,1963-08-18,Niles,Illinois,"Cleveland State University, Bradley University",70th overall,3rd round,Atlanta Hawks,1986
1168,Marcus Liberty,4,1991,1994,1968-10-27,Chicago,Illinois,University of Illinois at Urbana-Champaign,42nd overall,2nd round,Denver Nuggets,1990
1169,DeAndre Liggins,5,2012,2018,1988-03-31,Chicago,Illinois,University of Kentucky,53rd overall,2nd round,Orlando Magic,2011
1170,Shaun Livingston,14,2005,2019,1985-09-11,Peoria,Illinois,,4th overall,1st round,Los Angeles Clippers,2004
1171,Scott Lloyd,6,1977,1983,1952-12-19,Chicago,Illinois,Arizona State University,24th overall,2nd round,Milwaukee Bucks,1976
1172,Lonnie Lynn,1,1970,1970,1943-05-24,Chicago,Illinois,Wilberforce University,99th overall,12th round,St. Louis Hawks,1966
1173,Sam Mack,7,1993,2002,1970-05-26,Chicago,Illinois,"Iowa State University, Tyler Junior College, University of Houston",,,,
1174,Corey Maggette,14,2000,2013,1979-11-12,Melrose Park,Illinois,Duke University,13th overall,1st round,Seattle SuperSonics,1999
1175,Renaldo Major,1,2007,2007,1982-05-07,Chicago,Illinois,"South Plains College, California State University, Fresno",,,,
1176,Shawn Marion,16,2000,2015,1978-05-07,Waukegan,Illinois,"University of Nevada, Las Vegas",9th overall,1st round,Phoenix Suns,1999
1177,LaRue Martin,4,1973,1976,1950-03-30,Chicago,Illinois,Loyola University of Chicago,1st overall,1st round,Portland Trail Blazers,1972
1178,Marlon Maxey,2,1993,1994,1969-02-19,Chicago,Illinois,"University of Minnesota, University of Texas at El Paso",28th overall,2nd round,Minnesota Timberwolves,1992
1179,Jason Maxiell,10,2006,2015,1983-02-18,Chicago,Illinois,University of Cincinnati,26th overall,1st round,Detroit Pistons,2005
1180,Sean May,4,2006,2010,1984-04-04,Chicago,Illinois,University of North Carolina,13th overall,1st round,Charlotte Bobcats,2005
1181,Ken Mayfield,1,1976,1976,1948-05-11,Chicago,Illinois,Tuskegee University,50th overall,3rd round,New York Knicks,1971
1182,Ken McBride,1,1955,1955,1929-05-23,Centralia,Illinois,,,,,
1183,Mel McCants,1,1990,1990,1967-08-19,Chicago,Illinois,Purdue University,,,,
1184,Kelly McCarty,1,1999,1999,1975-08-24,Chicago,Illinois,University of Southern Mississippi,,,,
1185,Amal McCaskill,4,1997,2004,1973-10-28,Maywood,Illinois,Marquette University,49th overall,2nd round,Orlando Magic,1996
1186,Glenn McDonald,3,1975,1977,1952-03-18,Kewanee,Illinois,"California State University, Long Beach",17th overall,1st round,Boston Celtics,1974
1187,Billy McKinney,7,1979,1986,1955-06-05,Waukegan,Illinois,Northwestern University,115th overall,6th round,Phoenix Suns,1977
1188,Alfonzo McKinnie,5,2018,2022,1992-09-17,Chicago,Illinois,University of Wisconsin-Green Bay,,,,
1189,Jerel McNeal,1,2015,2015,1987-06-01,Chicago,Illinois,Marquette University,,,,
1190,Paul McPherson,1,2001,2001,1978-07-03,Chicago,Illinois,DePaul University,,,,
1191,Scott Meents,2,1990,1991,1964-01-04,Kankakee,Illinois,University of Illinois at Urbana-Champaign,74th overall,4th round,Chicago Bulls,1986
1192,Ken Menke,1,1950,1950,1922-10-02,East Dundee,Illinois,University of Illinois at Urbana-Champaign,,,,
1193,Ed Mikan,6,1949,1954,1925-10-20,Joliet,Illinois,DePaul University,5th overall,1st round,Chicago Stags,1948
1194,George Mikan,7,1949,1956,1924-06-18,Joliet,Illinois,DePaul University,,,,
1195,Al Miksis,1,1950,1950,1928-02-02,Chicago,Illinois,Western Illinois University,,,,
1196,Darius Miles,7,2001,2009,1981-10-09,Belleville,Illinois,,3rd overall,1st round,Los Angeles Clippers,2000
1197,Quincy Miller,3,2013,2015,1992-11-18,Chicago,Illinois,Baylor University,38th overall,2nd round,Denver Nuggets,2012
1198,Nazr Mohammed,18,1999,2016,1977-09-05,Chicago,Illinois,University of Kentucky,29th overall,1st round,Utah Jazz,1998
1199,Wayne Molis,2,1967,1968,1943-04-17,Chicago,Illinois,Lewis University,75th overall,10th round,New York Knicks,1965
1200,Matt Mooney,2,2020,2022,1997-02-07,Chicago,Illinois,,,,,
1201,Andre Moore,1,1988,1988,1964-07-02,Chicago,Illinois,Loyola University of Chicago,31st overall,2nd round,Denver Nuggets,1987
1202,Ben Moore,1,2018,2018,1995-05-13,Bolingbrook,Illinois,Southern Methodist University,,,,
1203,Rex Morgan,2,1971,1972,1948-10-27,Charleston,Illinois,Jacksonville University,21st overall,2nd round,Boston Celtics,1970
1204,Max Morris,1,1950,1950,1925-03-14,Norris City,Illinois,Northwestern University,,,,
1205,George Munroe,2,1947,1948,1922-01-05,Joliet,Illinois,Dartmouth College,,,,
1206,Jerry Nagel,1,1950,1950,1928-05-18,Chicago,Illinois,Loyola University of Chicago,1949 BAA Draft,4th roun,Fort Wayne Pistons,
1207,Howard Nathan,1,1996,1996,1972-01-21,Peoria,Illinois,"DePaul University, University of Louisiana at Monroe",,,,
1208,Tyrone Nesby,4,1999,2002,1976-01-31,Cairo,Illinois,"University of Nevada, Las Vegas",,,,
1209,Carl Nicks,3,1981,1983,1958-10-06,Chicago,Illinois,Indiana State University,23rd overall,1st round,Denver Nuggets,1980
1210,Richie Niemiera,2,1949,1950,1921-05-26,Chicago,Illinois,University of Notre Dame,,,,
1211,Ken Norman,10,1988,1997,1964-09-05,Chicago,Illinois,University of Illinois at Urbana-Champaign,19th overall,1st round,Los Angeles Clippers,1987
1212,Zach Norvell,1,2020,2020,1997-12-09,Chicago,Illinois,,,,,
1213,Mike Novak,3,1949,1954,1915-04-23,Chicago,Illinois,Loyola University of Chicago,,,,
1214,Steve Novak,11,2007,2017,1983-06-13,Libertyville,Illinois,Marquette University,32nd overall,2nd round,Houston Rockets,2006
1215,Kendrick Nunn,2,2020,2021,1995-08-03,Chicago,Illinois,,,,,
1216,Don Ohl,10,1961,1970,1936-04-18,Murphysboro,Illinois,University of Illinois at Urbana-Champaign,36th overall,5th round,Philadelphia Warriors,1958
1217,Jahlil Okafor,6,2016,2021,1995-12-15,Chicago,Illinois,Duke University,3rd overall,1st round,Philadelphia 76ers,2015
1218,Jawann Oldham,10,1981,1991,1957-07-04,Chicago,Illinois,Seattle University,41st overall,2nd round,Denver Nuggets,1980
1219,Brian Oliver,4,1991,1998,1968-06-01,Chicago,Illinois,Georgia Institute of Technology,32nd overall,2nd round,Philadelphia 76ers,1990
1220,Dean Oliver,2,2002,2003,1978-11-05,Quincy,Illinois,University of Iowa,,,,
1221,Wally Osterkorn,4,1952,1955,1928-07-06,Chicago,Illinois,University of Illinois at Urbana-Champaign,1950 NBA Draft,2nd roun,Chicago Stags,
1222,Jannero Pargo,11,2003,2015,1979-10-22,Chicago,Illinois,University of Arkansas,,,,
1223,Jeremy Pargo,3,2012,2020,1986-03-17,Chicago,Illinois,Gonzaga University,,,,
1224,Anthony Parker,9,1998,2012,1975-06-19,Naperville,Illinois,Bradley University,21st overall,1st round,New Jersey Nets,1997
1225,Jabari Parker,8,2015,2022,1995-03-15,Chicago,Illinois,Duke University,2nd overall,1st round,Milwaukee Bucks,2014
1226,Sonny Parker,6,1977,1982,1955-03-22,Chicago,Illinois,Texas A&M University,17th overall,1st round,Golden State Warriors,1976
1227,Stan Patrick,1,1950,1950,1922-05-05,Chicago,Illinois,University of Illinois at Urbana-Champaign,,,,
1228,Brandon Paul,1,2018,2018,1991-04-30,Gurnee,Illinois,University of Illinois at Urbana-Champaign,,,,
1229,Alec Peters,1,2018,2018,1995-04-13,Washington,Illinois,Valparaiso University,54th overall,2nd round,Phoenix Suns,2017
1230,Roger Phegley,6,1979,1984,1956-10-16,East Peoria,Illinois,Bradley University,14th overall,1st round,Washington Bullets,1978
1231,Jack Phelan,1,1950,1950,1925-11-06,Chicago,Illinois,DePaul University,,,,
1232,Andy Phillip,11,1948,1958,1922-03-07,Granite City,Illinois,University of Illinois at Urbana-Champaign,,1947 BAA Draf,Chicago Stags,
1233,Gary Phillips,5,1962,1966,1939-12-07,Quincy,Illinois,University of Houston,9th overall,1st round,Boston Celtics,1961
1234,Kevin Porter,10,1973,1983,1950-04-17,Chicago,Illinois,Saint Francis University,39th overall,3rd round,Baltimore Bullets,1972
1235,Roger Powell,1,2007,2007,1983-01-15,Joliet,Illinois,University of Illinois at Urbana-Champaign,,,,
1236,Marlbert Pradd,2,1968,1969,1944-11-17,Chicago,Illinois,Dillard University,74th overall,9th round,Los Angeles Lakers,1965
1237,Jacob Pullen,1,2018,2018,1989-11-10,Maywood,Illinois,Kansas State University,,,,
1238,Chasson Randle,4,2017,2021,1993-02-05,Rock Island,Illinois,Stanford University,,,,
1239,George Ratkovicz,6,1950,1955,1922-11-13,Chicago,Illinois,,,,,
1240,Don Rehfeldt,2,1951,1952,1927-01-07,Chicago,Illinois,University of Wisconsin,2nd overall,1st round,Baltimore Bullets,1950
1241,John Rennicke,1,1952,1952,1929-08-11,Aurora,Illinois,Drake University,51st overall,6th round,Tri-Cities Blackhawks,1951
1242,Kendall Rhine,2,1968,1969,1943-02-13,Eldorado,Illinois,Rice University,67th overall,8th round,St. Louis Hawks,1964
1243,Quentin Richardson,13,2001,2013,1980-04-13,Chicago,Illinois,DePaul University,18th overall,1st round,Los Angeles Clippers,2000
1244,Doc Rivers,13,1984,1996,1961-10-13,Chicago,Illinois,Marquette University,31st overall,2nd round,Atlanta Hawks,1983
1245,Flynn Robinson,8,1967,1974,1941-04-28,Elgin,Illinois,University of Wyoming,15th overall,2nd round,Cincinnati Royals,1965
1246,Bill Robinzine,7,1976,1982,1953-01-20,Chicago,Illinois,DePaul University,10th overall,1st round,Kansas City Kings,1975
1247,Isaiah Roby,3,2020,2022,1998-02-03,Dixon,Illinois,,,,,
1248,Derrick Rose,13,2009,2022,1988-10-04,Chicago,Illinois,University of Memphis,1st overall,1st round,Chicago Bulls,2008
1249,Mickey Rottner,2,1947,1948,1919-03-23,Chicago,Illinois,Loyola University of Chicago,,,,
1250,Joe Ruklick,3,1960,1962,1938-08-03,Princeton,Illinois,Northwestern University,9th overall,2nd round,Philadelphia Warriors,1959
1251,Cazzie Russell,12,1967,1978,1944-06-07,Chicago,Illinois,University of Michigan,1st overall,1st round,New York Knicks,1966
1252,Russ Schoene,4,1983,1989,1960-04-16,Trenton,Illinois,University of Tennessee at Chattanooga,45th overall,2nd round,Philadelphia 76ers,1982
1253,Lee Shaffer,3,1962,1964,1939-02-23,Chicago,Illinois,University of North Carolina,5th overall,1st round,Syracuse Nationals,1960
1254,Iman Shumpert,10,2012,2021,1990-06-26,Oak Park,Illinois,Georgia Institute of Technology,17th overall,1st round,New York Knicks,2011
1255,Jack Sikma,14,1978,1991,1955-11-14,Kankakee,Illinois,Illinois Wesleyan University,8th overall,1st round,Seattle SuperSonics,1977
1256,Bobby Simmons,10,2002,2012,1980-06-02,Chicago,Illinois,DePaul University,42nd overall,2nd round,Seattle SuperSonics,2001
1257,James Singleton,5,2006,2012,1981-07-20,Chicago,Illinois,Murray State University,,,,
1258,Jerry Sloan,11,1966,1976,1942-03-28,McLeansboro,Illinois,University of Evansville,19th overall,3rd round,Baltimore Bullets,1964
1259,Jack Smiley,2,1949,1950,1922-12-22,Sandwich,Illinois,University of Illinois at Urbana-Champaign,,,,
1260,Al Smith,5,1972,1976,1947-01-15,Peoria,Illinois,Bradley University,132nd overall,10th round,Chicago Bulls,1969
1261,Leon Smith,2,2002,2004,1980-11-02,Chicago,Illinois,,29th overall,1st round,San Antonio Spurs,1999
1262,Ron Sobie,4,1957,1960,1934-09-21,Chicago,Illinois,DePaul University,6th overall,1st round,Fort Wayne Pistons,1956
1263,Everette Stephens,2,1989,1991,1966-10-21,Evanston,Illinois,Purdue University,31st overall,2nd round,Philadelphia 76ers,1988
1264,Awvee Storey,3,2005,2008,1977-04-18,Chicago,Illinois,"University of Illinois at Urbana-Champaign, Arizona State University",,,,
1265,Max Strus,3,2020,2022,1996-03-28,Hickory Hills,Illinois,,,,,
1266,Barry Sumpter,1,1989,1989,1965-11-11,Brooklyn,Illinois,"University of Louisville, Austin Peay State University",56th overall,3rd round,San Antonio Spurs,1988
1267,Don Sunderlage,2,1954,1955,1929-12-20,Roselle,Illinois,University of Illinois at Urbana-Champaign,9th overall,1st round,Philadelphia Warriors,1951
1268,Norm Swanson,1,1954,1954,1930-10-04,Chicago,Illinois,University of Detroit Mercy,,1953 NBA Draf,Rochester Royals,
